,target,enrich,p
72,nram,43.050000000000004,0.1
73,nram,43.050000000000004,0.1
74,nram,19.79310344827586,0.25
75,nram,9.89655172413793,0.5
76,nram,6.597701149425287,0.75
77,nram,4.991304347826087,1.0
78,pygm,44.125,0.1
79,pygm,44.125,0.1
80,pygm,19.61111111111111,0.25
81,pygm,9.805555555555555,0.5
82,pygm,6.537037037037037,0.75
83,pygm,4.971830985915493,1.0
84,mcr,15.555555555555554,0.1
85,mcr,15.555555555555554,0.1
86,mcr,13.333333333333332,0.25
87,mcr,10.0,0.5
88,mcr,6.666666666666667,0.75
89,mcr,5.0,1.0
90,pgh2,43.35238095238095,0.1
91,pgh2,43.35238095238095,0.1
92,pgh2,18.74612403100775,0.25
93,pgh2,9.427875243664717,0.5
94,pgh2,6.273022049286641,0.75
95,pgh2,4.7139376218323585,1.0
96,parp1,49.77358490566038,0.1
97,parp1,49.77358490566038,0.1
98,parp1,19.984848484848484,0.25
99,parp1,9.992424242424242,0.5
100,parp1,6.661616161616162,0.75
101,parp1,4.996212121212121,1.0
102,ada,48.63636363636363,0.1
103,ada,48.63636363636363,0.1
104,ada,19.814814814814813,0.25
105,ada,9.907407407407407,0.5
106,ada,6.604938271604938,0.75
107,ada,5.0,1.0
108,comt,49.875,0.1
109,comt,49.875,0.1
110,comt,19.95,0.25
111,comt,9.975,0.5
112,comt,6.65,0.75
113,comt,4.9875,1.0
114,pparg,47.53191489361703,0.1
115,pparg,47.53191489361703,0.1
116,pparg,19.522036474164135,0.25
117,pparg,9.973214285714286,0.5
118,pparg,6.648809523809524,0.75
119,pparg,4.997762863534676,1.0
120,vgfr2,42.53488372093023,0.1
121,vgfr2,42.53488372093023,0.1
122,vgfr2,19.880434782608695,0.25
123,vgfr2,9.994535519125684,0.5
124,vgfr2,6.650909090909091,0.75
125,vgfr2,4.997267759562842,1.0
126,pnph,49.46153846153846,0.1
127,pnph,49.46153846153846,0.1
128,pnph,19.484848484848484,0.25
129,pnph,9.892307692307693,0.5
130,pnph,6.628865979381444,0.75
131,pnph,4.984496124031008,1.0
132,prgr,39.458333333333336,0.1
133,prgr,39.458333333333336,0.1
134,prgr,17.263020833333336,0.25
135,prgr,9.137719298245614,0.5
136,prgr,6.346445221445221,0.75
137,prgr,4.984210526315789,1.0
138,thrb,16.840000000000003,0.1
139,thrb,16.840000000000003,0.1
140,thrb,16.84,0.25
141,thrb,9.905882352941177,0.5
142,thrb,6.6299212598425195,0.75
143,thrb,4.982248520710059,1.0
144,pur2,46.4,0.1
145,pur2,46.4,0.1
146,pur2,19.333333333333332,0.25
147,pur2,9.666666666666666,0.5
148,pur2,6.444444444444445,0.75
149,pur2,4.9361702127659575,1.0
150,hmdh,44.94117647058823,0.1
151,hmdh,44.94117647058823,0.1
152,hmdh,19.58974358974359,0.25
153,hmdh,9.922077922077921,0.5
154,hmdh,6.643478260869565,0.75
155,hmdh,4.993464052287582,1.0
156,mk14,47.244826659500134,0.1
157,mk14,47.244826659500134,0.1
158,mk14,19.613891285591023,0.25
159,mk14,9.806945642795512,0.5
160,mk14,6.646929824561403,0.75
161,mk14,4.99341021416804,1.0
162,hs90a,46.3,0.1
163,hs90a,46.3,0.1
164,hs90a,19.291666666666668,0.25
165,hs90a,9.851063829787234,0.5
166,hs90a,6.614285714285714,0.75
167,hs90a,4.978494623655914,1.0
168,ace,49.74193548387097,0.1
169,ace,49.74193548387097,0.1
170,ace,19.76923076923077,0.25
171,ace,9.948387096774194,0.5
172,ace,6.646551724137931,0.75
173,ace,4.990291262135922,1.0
174,pde5a,46.34897360703812,0.1
175,pde5a,46.34897360703812,0.1
176,pde5a,18.709677419354836,0.25
177,pde5a,9.67741935483871,0.5
178,pde5a,6.666666666666667,0.75
179,pde5a,5.0,1.0
180,src,47.46774193548387,0.1
181,src,47.46774193548387,0.1
182,src,19.56440714908457,0.25
183,src,9.815363586659377,0.5
184,src,6.550977959421982,0.75
185,src,4.91601402048305,1.0
186,hivpr,48.583333333333336,0.1
187,hivpr,48.583333333333336,0.1
188,hivpr,19.93288590604027,0.25
189,hivpr,10.0,0.5
190,hivpr,6.6591928251121075,0.75
191,hivpr,5.0,1.0
192,aldr,43.346405228758165,0.1
193,aldr,43.346405228758165,0.1
194,aldr,19.738095238095237,0.25
195,aldr,9.987951807228916,0.5
196,aldr,6.632,0.75
197,aldr,4.993975903614458,1.0
198,try1,16.68888888888889,0.1
199,try1,16.68888888888889,0.1
200,try1,16.68888888888889,0.25
201,try1,9.661988304093567,0.5
202,try1,6.441325536062378,0.75
203,try1,4.86298749080206,1.0
204,andr,45.285714285714285,0.1
205,andr,45.285714285714285,0.1
206,andr,19.8125,0.25
207,andr,9.90625,0.5
208,andr,6.604166666666667,0.75
209,andr,4.9921259842519685,1.0
210,fa10,32.84,0.1
211,fa10,32.84,0.1
212,fa10,19.783132530120483,0.25
213,fa10,9.951515151515151,0.5
214,fa10,6.647773279352227,0.75
215,fa10,4.990881458966565,1.0
216,sahh,47.285714285714285,0.1
217,sahh,47.285714285714285,0.1
218,sahh,19.470588235294116,0.25
219,sahh,9.735294117647058,0.5
220,sahh,6.490196078431373,0.75
221,sahh,4.940298507462686,1.0
222,egfr,47.346656976744185,0.1
223,egfr,47.346656976744185,0.1
224,egfr,19.05777387743162,0.25
225,egfr,9.761298815269855,0.5
226,egfr,6.5075325435132365,0.75
227,egfr,4.880649407634928,1.0
