,target,enrich,p,actives_database,hdc_actives_sampled
92,comt,19.95,0.5,6,6
93,comt,13.3,0.75,6,6
94,comt,9.975,1.0,6,6
95,pparg,47.53191489361702,0.1,47,47
96,pparg,39.04407294832827,0.25,47,47
97,pparg,19.946428571428573,0.5,47,47
98,pparg,13.297619047619047,0.75,47,47
99,pparg,9.973214285714286,1.0,47,47
100,vgfr2,42.53488372093023,0.1,43,43
101,vgfr2,38.836198179979775,0.25,43,43
102,vgfr2,19.880434782608695,0.5,43,43
103,vgfr2,13.253623188405797,0.75,43,43
104,vgfr2,9.994535519125684,1.0,43,43
105,pnph,91.85714285714286,0.1,7,7
106,pnph,37.8235294117647,0.25,7,7
107,pnph,19.484848484848484,0.5,7,7
108,pnph,13.122448979591837,0.75,7,7
109,pnph,9.892307692307693,1.0,7,7
110,prgr,39.458333333333336,0.1,24,23
111,prgr,32.88194444444445,0.25,24,23
112,prgr,17.263020833333336,0.5,24,23
113,prgr,12.056712962962964,0.75,24,23
114,prgr,9.553070175438597,1.0,24,23
115,thrb,16.84,0.1,50,49
116,thrb,16.84,0.25,50,49
117,thrb,16.84,0.5,50,49
118,thrb,12.893125,0.75,50,49
119,thrb,9.707764705882353,1.0,50,49
120,pur2,58.0,0.1,4,4
121,pur2,38.666666666666664,0.25,4,4
122,pur2,19.333333333333332,0.5,4,4
123,pur2,12.88888888888889,0.75,4,4
124,pur2,9.666666666666666,1.0,4,4
125,hmdh,44.94117647058823,0.1,17,17
126,hmdh,38.2,0.25,17,17
127,hmdh,19.58974358974359,0.5,17,17
128,hmdh,13.172413793103448,0.75,17,17
129,hmdh,9.922077922077921,1.0,17,17
130,mk14,49.68852459016394,0.1,61,60
131,mk14,38.57398619499568,0.25,61,60
132,mk14,19.613891285591023,0.5,61,60
133,mk14,13.07592752372735,0.75,61,60
134,mk14,9.806945642795512,1.0,61,60
135,hs90a,92.6,0.1,5,5
136,hs90a,38.583333333333336,0.25,5,5
137,hs90a,19.291666666666668,0.5,5,5
138,hs90a,12.86111111111111,0.75,5,5
139,hs90a,9.851063829787234,1.0,5,5
140,ace,70.0909090909091,0.1,22,22
141,ace,39.53846153846154,0.25,22,22
142,ace,19.76923076923077,0.5,22,22
143,ace,13.179487179487179,0.75,22,22
144,ace,9.948387096774194,1.0,22,22
145,pde5a,70.3225806451613,0.1,31,31
146,pde5a,37.07917888563049,0.25,31,31
147,pde5a,19.35483870967742,0.5,31,31
148,pde5a,13.292682926829269,0.75,31,31
149,pde5a,10.0,1.0,31,31
150,src,47.46774193548387,0.1,62,61
151,src,38.487358326068005,0.25,62,61
152,src,19.56440714908457,0.5,62,61
153,src,13.042938099389712,0.75,62,61
154,src,9.815363586659377,1.0,62,61
155,hivpr,55.0,0.1,54,53
156,hivpr,38.86666666666667,0.25,54,53
157,hivpr,19.563758389261746,0.5,54,53
158,hivpr,13.071748878923767,0.75,54,53
159,hivpr,9.814814814814815,1.0,54,53
160,aldr,46.05555555555556,0.1,18,18
161,aldr,35.08994708994709,0.25,18,18
162,aldr,19.738095238095237,0.5,18,18
163,aldr,13.158730158730158,0.75,18,18
164,aldr,9.987951807228916,1.0,18,18
165,try1,16.68888888888889,0.1,45,44
166,try1,16.68888888888889,0.25,45,44
167,try1,16.68888888888889,0.5,45,44
168,try1,12.882651072124755,0.75,45,44
169,try1,9.661988304093567,1.0,45,44
170,andr,45.285714285714285,0.1,14,14
171,andr,39.625,0.25,14,14
172,andr,19.8125,0.5,14,14
173,andr,13.208333333333334,0.75,14,14
174,andr,9.90625,1.0,14,14
175,fa10,32.84,0.1,50,50
176,fa10,32.839999999999996,0.25,50,50
177,fa10,19.783132530120483,0.5,50,50
178,fa10,13.241935483870968,0.75,50,50
179,fa10,9.951515151515151,1.0,50,50
180,sahh,47.285714285714285,0.1,7,7
181,sahh,36.77777777777778,0.25,7,7
182,sahh,19.470588235294116,0.5,7,7
183,sahh,12.73076923076923,0.75,7,7
184,sahh,9.735294117647058,1.0,7,7
185,egfr,73.90697674418604,0.1,43,42
186,egfr,37.877325581395354,0.25,43,42
187,egfr,19.52259763053971,0.5,43,42
188,egfr,12.987836917388343,0.75,43,42
189,egfr,9.761298815269855,1.0,43,42
