Step Name,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts
dude_FEAT.rdkit.TARGET.dyr,FEAT.rdkit.TARGET.dyr,FINISHED,0d:00h:01m:00s,0d:01h:18m:16s,2022-05-23 23:43:38,2022-05-23 22:26:22,2022-05-23 23:44:38,0
dude_FEAT.ecfp.TARGET.aldr,FEAT.ecfp.TARGET.aldr,FINISHED,0d:00h:02m:00s,0d:00h:37m:11s,2022-05-23 23:01:32,2022-05-23 22:26:21,2022-05-23 23:03:32,0
dude_FEAT.ecfp.TARGET.inha,FEAT.ecfp.TARGET.inha,FINISHED,0d:00h:02m:00s,0d:02h:01m:21s,2022-05-24 00:25:45,2022-05-23 22:26:24,2022-05-24 00:27:45,0
dude_FEAT.smiles_to_seq.TARGET.pgh2,FEAT.smiles_to_seq.TARGET.pgh2,FINISHED,0d:00h:02m:00s,0d:02h:24m:23s,2022-05-24 00:48:48,2022-05-23 22:26:25,2022-05-24 00:50:48,0
dude_FEAT.rdkit.TARGET.esr1,FEAT.rdkit.TARGET.esr1,FINISHED,0d:00h:01m:01s,0d:01h:32m:18s,2022-05-23 23:57:40,2022-05-23 22:26:23,2022-05-23 23:58:41,0
dude_FEAT.rdkit.TARGET.egfr,FEAT.rdkit.TARGET.egfr,FINISHED,0d:00h:02m:01s,0d:01h:27m:18s,2022-05-23 23:51:39,2022-05-23 22:26:22,2022-05-23 23:53:40,0
dude_FEAT.smiles_to_image.TARGET.sahh,FEAT.smiles_to_image.TARGET.sahh,FINISHED,0d:00h:07m:01s,0d:02h:46m:26s,2022-05-24 01:05:51,2022-05-23 22:26:26,2022-05-24 01:12:52,0
dude_FEAT.rdkit.TARGET.hs90a,FEAT.rdkit.TARGET.hs90a,FINISHED,--:--:--,0d:02h:00m:21s,--,2022-05-23 22:26:24,2022-05-24 00:26:45,0
dude_FEAT.ecfp.TARGET.esr1,FEAT.ecfp.TARGET.esr1,FINISHED,0d:00h:02m:01s,0d:01h:27m:18s,2022-05-23 23:51:39,2022-05-23 22:26:22,2022-05-23 23:53:40,0
dude_FEAT.ecfp.TARGET.comt,FEAT.ecfp.TARGET.comt,FINISHED,0d:00h:02m:00s,0d:01h:09m:15s,2022-05-23 23:33:37,2022-05-23 22:26:22,2022-05-23 23:35:37,0
dude_FEAT.smiles_to_seq.TARGET.hivrt,FEAT.smiles_to_seq.TARGET.hivrt,FINISHED,0d:00h:01m:00s,0d:01h:51m:20s,2022-05-24 00:16:43,2022-05-23 22:26:23,2022-05-24 00:17:43,0
dude_FEAT.ecfp.TARGET.ace,FEAT.ecfp.TARGET.ace,FINISHED,0d:00h:02m:00s,0d:00h:03m:06s,2022-05-23 22:27:27,2022-05-23 22:26:21,2022-05-23 22:29:27,0
dude_FEAT.mordred.TARGET.pparg,FEAT.mordred.TARGET.pparg,FINISHED,0d:00h:04m:01s,0d:02h:33m:25s,2022-05-24 00:55:49,2022-05-23 22:26:25,2022-05-24 00:59:50,0
dude_FEAT.mordred.TARGET.egfr,FEAT.mordred.TARGET.egfr,FINISHED,0d:00h:06m:01s,0d:01h:27m:18s,2022-05-23 23:47:39,2022-05-23 22:26:22,2022-05-23 23:53:40,0
dude_FEAT.rdkit.TARGET.ace,FEAT.rdkit.TARGET.ace,FINISHED,0d:00h:01m:00s,0d:00h:18m:08s,2022-05-23 22:43:29,2022-05-23 22:26:21,2022-05-23 22:44:29,0
dude_FEAT.rdkit.TARGET.aldr,FEAT.rdkit.TARGET.aldr,FINISHED,0d:00h:01m:00s,0d:00h:41m:12s,2022-05-23 23:06:33,2022-05-23 22:26:21,2022-05-23 23:07:33,0
dude_FEAT.maacs.TARGET.prgr,FEAT.maacs.TARGET.prgr,FINISHED,0d:00h:02m:00s,0d:02h:33m:25s,2022-05-24 00:57:50,2022-05-23 22:26:25,2022-05-24 00:59:50,0
dude_FEAT.maacs.TARGET.hivpr,FEAT.maacs.TARGET.hivpr,FINISHED,0d:00h:02m:00s,0d:01h:48m:20s,2022-05-24 00:12:43,2022-05-23 22:26:23,2022-05-24 00:14:43,0
dude_FEAT.smiles_to_seq.TARGET.prgr,FEAT.smiles_to_seq.TARGET.prgr,FINISHED,0d:00h:01m:00s,0d:02h:32m:25s,2022-05-24 00:57:50,2022-05-23 22:26:25,2022-05-24 00:58:50,0
dude_FEAT.ecfp.TARGET.egfr,FEAT.ecfp.TARGET.egfr,FINISHED,0d:00h:04m:01s,0d:01h:22m:17s,2022-05-23 23:44:38,2022-05-23 22:26:22,2022-05-23 23:48:39,0
dude_FEAT.rdkit.TARGET.try1,FEAT.rdkit.TARGET.try1,FINISHED,--:--:--,0d:02h:49m:27s,--,2022-05-23 22:26:26,2022-05-24 01:15:53,0
dude_FEAT.maacs.TARGET.comt,FEAT.maacs.TARGET.comt,FINISHED,--:--:--,0d:01h:11m:15s,--,2022-05-23 22:26:22,2022-05-23 23:37:37,0
dude_FEAT.maacs.TARGET.thrb,FEAT.maacs.TARGET.thrb,FINISHED,0d:00h:01m:00s,0d:02h:45m:26s,2022-05-24 01:10:52,2022-05-23 22:26:26,2022-05-24 01:11:52,0
dude_FEAT.rdkit.TARGET.hivpr,FEAT.rdkit.TARGET.hivpr,FINISHED,0d:00h:02m:00s,0d:01h:50m:20s,2022-05-24 00:14:43,2022-05-23 22:26:23,2022-05-24 00:16:43,0
dude_FEAT.maacs.TARGET.pur2,FEAT.maacs.TARGET.pur2,FINISHED,--:--:--,0d:02h:35m:25s,--,2022-05-23 22:26:25,2022-05-24 01:01:50,0
dude_FEAT.mordred.TARGET.pgh2,FEAT.mordred.TARGET.pgh2,FINISHED,0d:00h:04m:01s,0d:02h:28m:24s,2022-05-24 00:50:48,2022-05-23 22:26:25,2022-05-24 00:54:49,0
dude_FEAT.rdkit.TARGET.ampc,FEAT.rdkit.TARGET.ampc,FINISHED,--:--:--,0d:00h:47m:12s,--,2022-05-23 22:26:22,2022-05-23 23:13:34,0
dude_FEAT.mordred.TARGET.pygm,FEAT.mordred.TARGET.pygm,FINISHED,0d:00h:02m:00s,0d:02h:37m:24s,2022-05-24 01:01:50,2022-05-23 22:26:26,2022-05-24 01:03:50,0
dude_FEAT.mordred.TARGET.andr,FEAT.mordred.TARGET.andr,FINISHED,0d:00h:03m:00s,0d:00h:52m:12s,2022-05-23 23:15:34,2022-05-23 22:26:22,2022-05-23 23:18:34,0
dude_FEAT.smiles_to_image.TARGET.aldr,FEAT.smiles_to_image.TARGET.aldr,FINISHED,0d:00h:09m:01s,0d:00h:46m:12s,2022-05-23 23:03:32,2022-05-23 22:26:21,2022-05-23 23:12:33,0
dude_FEAT.smiles_to_image.TARGET.egfr,FEAT.smiles_to_image.TARGET.egfr,FINISHED,0d:00h:15m:03s,0d:01h:33m:19s,2022-05-23 23:44:38,2022-05-23 22:26:22,2022-05-23 23:59:41,0
dude_FEAT.ecfp.TARGET.andr,FEAT.ecfp.TARGET.andr,FINISHED,0d:00h:02m:00s,0d:00h:49m:12s,2022-05-23 23:13:34,2022-05-23 22:26:22,2022-05-23 23:15:34,0
dude_FEAT.smiles_to_image.TARGET.dyr,FEAT.smiles_to_image.TARGET.dyr,FINISHED,0d:00h:11m:01s,0d:01h:25m:17s,2022-05-23 23:40:38,2022-05-23 22:26:22,2022-05-23 23:51:39,0
dude_FEAT.smiles_to_image.TARGET.pur2,FEAT.smiles_to_image.TARGET.pur2,FINISHED,0d:00h:07m:01s,0d:02h:40m:26s,2022-05-24 00:59:50,2022-05-23 22:26:25,2022-05-24 01:06:51,0
dude_FEAT.mordred.TARGET.dyr,FEAT.mordred.TARGET.dyr,FINISHED,0d:00h:04m:00s,0d:01h:18m:16s,2022-05-23 23:40:38,2022-05-23 22:26:22,2022-05-23 23:44:38,0
dude_FEAT.smiles_to_seq.TARGET.dyr,FEAT.smiles_to_seq.TARGET.dyr,FINISHED,0d:00h:02m:01s,0d:01h:14m:16s,2022-05-23 23:38:37,2022-05-23 22:26:22,2022-05-23 23:40:38,0
dude_FEAT.ecfp.TARGET.pygm,FEAT.ecfp.TARGET.pygm,FINISHED,0d:00h:02m:00s,0d:02h:36m:24s,2022-05-24 01:00:50,2022-05-23 22:26:26,2022-05-24 01:02:50,0
dude_FEAT.mordred.TARGET.mk14,FEAT.mordred.TARGET.mk14,FINISHED,0d:00h:05m:01s,0d:02h:12m:23s,2022-05-24 00:33:46,2022-05-23 22:26:24,2022-05-24 00:38:47,0
dude_FEAT.maacs.TARGET.esr1,FEAT.maacs.TARGET.esr1,FINISHED,0d:00h:02m:00s,0d:01h:31m:17s,2022-05-23 23:55:40,2022-05-23 22:26:23,2022-05-23 23:57:40,0
dude_FEAT.smiles_to_image.TARGET.src,FEAT.smiles_to_image.TARGET.src,FINISHED,0d:00h:14m:03s,0d:02h:55m:28s,2022-05-24 01:07:51,2022-05-23 22:26:26,2022-05-24 01:21:54,0
dude_FEAT.rdkit.TARGET.gcr,FEAT.rdkit.TARGET.gcr,FINISHED,0d:00h:01m:00s,0d:01h:43m:19s,2022-05-24 00:08:42,2022-05-23 22:26:23,2022-05-24 00:09:42,0
dude_FEAT.maacs.TARGET.pnph,FEAT.maacs.TARGET.pnph,FINISHED,0d:00h:02m:00s,0d:02h:29m:24s,2022-05-24 00:53:49,2022-05-23 22:26:25,2022-05-24 00:55:49,0
dude_FEAT.ecfp.TARGET.pparg,FEAT.ecfp.TARGET.pparg,FINISHED,0d:00h:03m:01s,0d:02h:31m:25s,2022-05-24 00:54:49,2022-05-23 22:26:25,2022-05-24 00:57:50,0
dude_FEAT.smiles_to_image.TARGET.mk14,FEAT.smiles_to_image.TARGET.mk14,FINISHED,0d:00h:14m:02s,0d:02h:21m:24s,2022-05-24 00:33:46,2022-05-23 22:26:24,2022-05-24 00:47:48,0
dude_FEAT.smiles_to_image.TARGET.kith,FEAT.smiles_to_image.TARGET.kith,FINISHED,0d:00h:06m:01s,0d:02h:08m:22s,2022-05-24 00:28:45,2022-05-23 22:26:24,2022-05-24 00:34:46,0
dude_FEAT.rdkit.TARGET.mk14,FEAT.rdkit.TARGET.mk14,FINISHED,0d:00h:03m:00s,0d:02h:11m:22s,2022-05-24 00:34:46,2022-05-23 22:26:24,2022-05-24 00:37:46,0
dude_FEAT.ecfp.TARGET.pur2,FEAT.ecfp.TARGET.pur2,FINISHED,0d:00h:01m:00s,0d:02h:34m:25s,2022-05-24 00:59:50,2022-05-23 22:26:25,2022-05-24 01:00:50,0
dude_FEAT.mordred.TARGET.inha,FEAT.mordred.TARGET.inha,FINISHED,0d:00h:03m:00s,0d:02h:03m:21s,2022-05-24 00:26:45,2022-05-23 22:26:24,2022-05-24 00:29:45,0
dude_FEAT.smiles_to_image.TARGET.pde5a,FEAT.smiles_to_image.TARGET.pde5a,FINISHED,0d:00h:13m:02s,0d:02h:29m:24s,2022-05-24 00:42:47,2022-05-23 22:26:25,2022-05-24 00:55:49,0
dude_FEAT.mordred.TARGET.gcr,FEAT.mordred.TARGET.gcr,FINISHED,0d:00h:03m:00s,0d:01h:42m:19s,2022-05-24 00:05:42,2022-05-23 22:26:23,2022-05-24 00:08:42,0
dude_FEAT.smiles_to_seq.TARGET.sahh,FEAT.smiles_to_seq.TARGET.sahh,FINISHED,0d:00h:02m:00s,0d:02h:40m:25s,2022-05-24 01:04:51,2022-05-23 22:26:26,2022-05-24 01:06:51,0
dude_FEAT.smiles_to_seq.TARGET.pde5a,FEAT.smiles_to_seq.TARGET.pde5a,FINISHED,0d:00h:02m:01s,0d:02h:18m:24s,2022-05-24 00:42:47,2022-05-23 22:26:24,2022-05-24 00:44:48,0
dude_FEAT.mordred.TARGET.cdk2,FEAT.mordred.TARGET.cdk2,FINISHED,0d:00h:05m:01s,0d:01h:09m:15s,2022-05-23 23:30:36,2022-05-23 22:26:22,2022-05-23 23:35:37,0
dude_FEAT.rdkit.TARGET.hmdh,FEAT.rdkit.TARGET.hmdh,FINISHED,0d:00h:01m:00s,0d:01h:57m:21s,2022-05-24 00:22:44,2022-05-23 22:26:23,2022-05-24 00:23:44,0
dude_FEAT.smiles_to_image.TARGET.pparg,FEAT.smiles_to_image.TARGET.pparg,FINISHED,0d:00h:11m:02s,0d:02h:40m:26s,2022-05-24 00:55:49,2022-05-23 22:26:25,2022-05-24 01:06:51,0
dude_FEAT.smiles_to_image.TARGET.ada,FEAT.smiles_to_image.TARGET.ada,FINISHED,0d:00h:08m:01s,0d:00h:39m:11s,2022-05-23 22:57:31,2022-05-23 22:26:21,2022-05-23 23:05:32,0
dude_FEAT.ecfp.TARGET.aces,FEAT.ecfp.TARGET.aces,FINISHED,0d:00h:03m:01s,0d:00h:21m:09s,2022-05-23 22:44:29,2022-05-23 22:26:21,2022-05-23 22:47:30,0
dude_FEAT.rdkit.TARGET.pygm,FEAT.rdkit.TARGET.pygm,FINISHED,--:--:--,0d:02h:37m:24s,--,2022-05-23 22:26:26,2022-05-24 01:03:50,0
dude_FEAT.ecfp.TARGET.pnph,FEAT.ecfp.TARGET.pnph,FINISHED,0d:00h:02m:00s,0d:02h:27m:24s,2022-05-24 00:51:49,2022-05-23 22:26:25,2022-05-24 00:53:49,0
dude_FEAT.ecfp.TARGET.rxra,FEAT.ecfp.TARGET.rxra,FINISHED,0d:00h:01m:00s,0d:02h:37m:24s,2022-05-24 01:02:50,2022-05-23 22:26:26,2022-05-24 01:03:50,0
dude_FEAT.mordred.TARGET.vgfr2,FEAT.mordred.TARGET.vgfr2,FINISHED,0d:00h:04m:01s,0d:02h:52m:26s,2022-05-24 01:14:52,2022-05-23 22:26:27,2022-05-24 01:18:53,0
dude_FEAT.mordred.TARGET.hmdh,FEAT.mordred.TARGET.hmdh,FINISHED,0d:00h:04m:01s,0d:01h:59m:22s,2022-05-24 00:21:44,2022-05-23 22:26:23,2022-05-24 00:25:45,0
dude_FEAT.rdkit.TARGET.pparg,FEAT.rdkit.TARGET.pparg,FINISHED,0d:00h:02m:01s,0d:02h:31m:25s,2022-05-24 00:55:49,2022-05-23 22:26:25,2022-05-24 00:57:50,0
dude_FEAT.rdkit.TARGET.vgfr2,FEAT.rdkit.TARGET.vgfr2,FINISHED,0d:00h:01m:00s,0d:02h:50m:26s,2022-05-24 01:15:53,2022-05-23 22:26:27,2022-05-24 01:16:53,0
dude_FEAT.mordred.TARGET.aldr,FEAT.mordred.TARGET.aldr,FINISHED,0d:00h:03m:01s,0d:00h:40m:12s,2022-05-23 23:03:32,2022-05-23 22:26:21,2022-05-23 23:06:33,0
