Step Name,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts
dude_FEAT.rdkit.TARGET.hivpr,FEAT.rdkit.TARGET.hivpr,FINISHED,0d:00h:38m:07s,0d:01h:28m:19s,2022-06-03 20:02:08,2022-06-03 19:11:56,2022-06-03 20:40:15,0
dude_FEAT.mordred.TARGET.aces,FEAT.mordred.TARGET.aces,FINISHED,0d:00h:33m:05s,0d:00h:34m:11s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:46:05,0
dude_FEAT.smiles_to_seq.TARGET.pygm,FEAT.smiles_to_seq.TARGET.pygm,FINISHED,0d:00h:06m:01s,0d:01h:40m:18s,2022-06-03 20:46:16,2022-06-03 19:11:59,2022-06-03 20:52:17,0
dude_FEAT.smiles_to_image.TARGET.thrb,FEAT.smiles_to_image.TARGET.thrb,FINISHED,0d:00h:23m:04s,0d:02h:06m:22s,2022-06-03 20:55:18,2022-06-03 19:12:00,2022-06-03 21:18:22,0
dude_FEAT.ecfp.TARGET.hivrt,FEAT.ecfp.TARGET.hivrt,FINISHED,0d:00h:04m:01s,0d:00h:54m:13s,2022-06-03 20:02:08,2022-06-03 19:11:56,2022-06-03 20:06:09,0
dude_FEAT.smiles_to_seq.TARGET.ada,FEAT.smiles_to_seq.TARGET.ada,FINISHED,0d:00h:08m:01s,0d:00h:09m:07s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:21:01,0
dude_FEAT.rdkit.TARGET.thrb,FEAT.rdkit.TARGET.thrb,FINISHED,0d:00h:14m:03s,0d:01h:57m:21s,2022-06-03 20:55:18,2022-06-03 19:12:00,2022-06-03 21:09:21,0
dude_FEAT.smiles_to_image.TARGET.cdk2,FEAT.smiles_to_image.TARGET.cdk2,FINISHED,0d:00h:50m:09s,0d:01h:04m:16s,2022-06-03 19:26:02,2022-06-03 19:11:55,2022-06-03 20:16:11,0
dude_FEAT.smiles_to_image.TARGET.hivpr,FEAT.smiles_to_image.TARGET.hivpr,FINISHED,0d:00h:56m:10s,0d:01h:44m:22s,2022-06-03 20:00:08,2022-06-03 19:11:56,2022-06-03 20:56:18,0
dude_FEAT.maacs.TARGET.mcr,FEAT.maacs.TARGET.mcr,FINISHED,0d:00h:06m:01s,0d:01h:10m:15s,2022-06-03 20:16:11,2022-06-03 19:11:57,2022-06-03 20:22:12,0
dude_FEAT.ecfp.TARGET.aldr,FEAT.ecfp.TARGET.aldr,FINISHED,0d:00h:13m:02s,0d:00h:14m:08s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:26:02,0
dude_FEAT.smiles_to_seq.TARGET.mk14,FEAT.smiles_to_seq.TARGET.mk14,FINISHED,0d:00h:39m:07s,0d:01h:43m:21s,2022-06-03 20:16:11,2022-06-03 19:11:57,2022-06-03 20:55:18,0
dude_FEAT.rdkit.TARGET.prgr,FEAT.rdkit.TARGET.prgr,FINISHED,0d:00h:16m:03s,0d:01h:44m:19s,2022-06-03 20:40:15,2022-06-03 19:11:59,2022-06-03 20:56:18,0
dude_FEAT.ecfp.TARGET.hs90a,FEAT.ecfp.TARGET.hs90a,FINISHED,0d:00h:08m:01s,0d:01h:03m:14s,2022-06-03 20:07:09,2022-06-03 19:11:56,2022-06-03 20:15:10,0
dude_FEAT.smiles_to_seq.TARGET.andr,FEAT.smiles_to_seq.TARGET.andr,FINISHED,0d:00h:17m:03s,0d:00h:18m:09s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:30:03,0
dude_FEAT.mordred.TARGET.hs90a,FEAT.mordred.TARGET.hs90a,FINISHED,0d:00h:10m:02s,0d:01h:06m:14s,2022-06-03 20:08:09,2022-06-03 19:11:57,2022-06-03 20:18:11,0
dude_FEAT.rdkit.TARGET.nram,FEAT.rdkit.TARGET.nram,FINISHED,0d:00h:08m:02s,0d:01h:15m:16s,2022-06-03 20:19:11,2022-06-03 19:11:57,2022-06-03 20:27:13,0
dude_FEAT.maacs.TARGET.fa10,FEAT.maacs.TARGET.fa10,FINISHED,0d:00h:22m:04s,0d:00h:55m:13s,2022-06-03 19:45:05,2022-06-03 19:11:56,2022-06-03 20:07:09,0
dude_FEAT.mordred.TARGET.nram,FEAT.mordred.TARGET.nram,FINISHED,0d:00h:13m:02s,0d:01h:19m:16s,2022-06-03 20:18:11,2022-06-03 19:11:57,2022-06-03 20:31:13,0
dude_FEAT.maacs.TARGET.pur2,FEAT.maacs.TARGET.pur2,FINISHED,0d:00h:04m:01s,0d:01h:36m:18s,2022-06-03 20:44:16,2022-06-03 19:11:59,2022-06-03 20:48:17,0
dude_FEAT.mordred.TARGET.src,FEAT.mordred.TARGET.src,FINISHED,0d:00h:47m:08s,0d:02h:29m:26s,2022-06-03 20:54:18,2022-06-03 19:12:00,2022-06-03 21:41:26,0
dude_FEAT.rdkit.TARGET.sahh,FEAT.rdkit.TARGET.sahh,FINISHED,0d:00h:06m:01s,0d:01h:47m:20s,2022-06-03 20:53:18,2022-06-03 19:11:59,2022-06-03 20:59:19,0
dude_FEAT.smiles_to_seq.TARGET.esr1,FEAT.smiles_to_seq.TARGET.esr1,FINISHED,0d:00h:21m:03s,0d:00h:51m:13s,2022-06-03 19:42:05,2022-06-03 19:11:55,2022-06-03 20:03:08,0
dude_FEAT.ecfp.TARGET.nram,FEAT.ecfp.TARGET.nram,FINISHED,0d:00h:09m:02s,0d:01h:15m:16s,2022-06-03 20:18:11,2022-06-03 19:11:57,2022-06-03 20:27:13,0
dude_FEAT.smiles_to_image.TARGET.kith,FEAT.smiles_to_image.TARGET.kith,FINISHED,0d:00h:14m:03s,0d:01h:15m:16s,2022-06-03 20:13:10,2022-06-03 19:11:57,2022-06-03 20:27:13,0
dude_FEAT.smiles_to_seq.TARGET.pnph,FEAT.smiles_to_seq.TARGET.pnph,FINISHED,0d:00h:13m:03s,0d:01h:31m:18s,2022-06-03 20:30:13,2022-06-03 19:11:58,2022-06-03 20:43:16,0
dude_FEAT.maacs.TARGET.vgfr2,FEAT.maacs.TARGET.vgfr2,FINISHED,0d:00h:23m:04s,0d:02h:10m:23s,2022-06-03 20:59:19,2022-06-03 19:12:00,2022-06-03 21:22:23,0
dude_FEAT.smiles_to_image.TARGET.hivrt,FEAT.smiles_to_image.TARGET.hivrt,FINISHED,0d:00h:13m:03s,0d:01h:04m:15s,2022-06-03 20:03:08,2022-06-03 19:11:56,2022-06-03 20:16:11,0
dude_FEAT.smiles_to_seq.TARGET.pur2,FEAT.smiles_to_seq.TARGET.pur2,FINISHED,0d:00h:04m:01s,0d:01h:34m:17s,2022-06-03 20:42:15,2022-06-03 19:11:59,2022-06-03 20:46:16,0
dude_FEAT.smiles_to_seq.TARGET.ace,FEAT.smiles_to_seq.TARGET.ace,FINISHED,0d:00h:21m:03s,0d:00h:22m:10s,2022-06-03 19:13:00,2022-06-03 19:11:53,2022-06-03 19:34:03,0
dude_FEAT.mordred.TARGET.pnph,FEAT.mordred.TARGET.pnph,FINISHED,0d:00h:11m:02s,0d:01h:31m:18s,2022-06-03 20:32:14,2022-06-03 19:11:58,2022-06-03 20:43:16,0
dude_FEAT.smiles_to_seq.TARGET.pgh1,FEAT.smiles_to_seq.TARGET.pgh1,FINISHED,0d:00h:14m:02s,0d:01h:25m:16s,2022-06-03 20:23:12,2022-06-03 19:11:58,2022-06-03 20:37:14,0
dude_FEAT.smiles_to_image.TARGET.egfr,FEAT.smiles_to_image.TARGET.egfr,FINISHED,0d:00h:53m:10s,0d:01h:20m:19s,2022-06-03 19:39:04,2022-06-03 19:11:55,2022-06-03 20:32:14,0
dude_FEAT.smiles_to_image.TARGET.aldr,FEAT.smiles_to_image.TARGET.aldr,FINISHED,0d:00h:25m:04s,0d:00h:26m:10s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:38:04,0
dude_FEAT.ecfp.TARGET.pnph,FEAT.ecfp.TARGET.pnph,FINISHED,0d:00h:11m:02s,0d:01h:28m:17s,2022-06-03 20:29:13,2022-06-03 19:11:58,2022-06-03 20:40:15,0
dude_FEAT.ecfp.TARGET.hmdh,FEAT.ecfp.TARGET.hmdh,FINISHED,0d:00h:12m:02s,0d:01h:06m:15s,2022-06-03 20:06:09,2022-06-03 19:11:56,2022-06-03 20:18:11,0
dude_FEAT.maacs.TARGET.mk14,FEAT.maacs.TARGET.mk14,FINISHED,0d:00h:42m:08s,0d:01h:47m:22s,2022-06-03 20:17:11,2022-06-03 19:11:57,2022-06-03 20:59:19,0
dude_FEAT.ecfp.TARGET.rxra,FEAT.ecfp.TARGET.rxra,FINISHED,0d:00h:10m:02s,0d:01h:47m:20s,2022-06-03 20:49:17,2022-06-03 19:11:59,2022-06-03 20:59:19,0
dude_FEAT.rdkit.TARGET.ada,FEAT.rdkit.TARGET.ada,FINISHED,0d:00h:08m:01s,0d:00h:09m:07s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:21:01,0
dude_FEAT.smiles_to_seq.TARGET.vgfr2,FEAT.smiles_to_seq.TARGET.vgfr2,FINISHED,0d:00h:24m:04s,0d:02h:10m:23s,2022-06-03 20:58:19,2022-06-03 19:12:00,2022-06-03 21:22:23,0
dude_FEAT.rdkit.TARGET.vgfr2,FEAT.rdkit.TARGET.vgfr2,FINISHED,0d:00h:23m:04s,0d:02h:10m:23s,2022-06-03 20:59:19,2022-06-03 19:12:00,2022-06-03 21:22:23,0
dude_FEAT.maacs.TARGET.src,FEAT.maacs.TARGET.src,FINISHED,0d:00h:38m:06s,0d:02h:21m:24s,2022-06-03 20:55:18,2022-06-03 19:12:00,2022-06-03 21:33:24,0
dude_FEAT.smiles_to_seq.TARGET.cdk2,FEAT.smiles_to_seq.TARGET.cdk2,FINISHED,0d:00h:34m:06s,0d:00h:47m:13s,2022-06-03 19:25:02,2022-06-03 19:11:55,2022-06-03 19:59:08,0
dude_FEAT.smiles_to_seq.TARGET.sahh,FEAT.smiles_to_seq.TARGET.sahh,FINISHED,0d:00h:06m:02s,0d:01h:46m:20s,2022-06-03 20:52:17,2022-06-03 19:11:59,2022-06-03 20:58:19,0
dude_FEAT.smiles_to_image.TARGET.pnph,FEAT.smiles_to_image.TARGET.pnph,FINISHED,0d:00h:19m:04s,0d:01h:38m:19s,2022-06-03 20:31:13,2022-06-03 19:11:58,2022-06-03 20:50:17,0
dude_FEAT.ecfp.TARGET.andr,FEAT.ecfp.TARGET.andr,FINISHED,0d:00h:16m:03s,0d:00h:17m:09s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:29:03,0
dude_FEAT.ecfp.TARGET.hivpr,FEAT.ecfp.TARGET.hivpr,FINISHED,0d:00h:39m:07s,0d:01h:25m:18s,2022-06-03 19:58:07,2022-06-03 19:11:56,2022-06-03 20:37:14,0
dude_FEAT.maacs.TARGET.rxra,FEAT.maacs.TARGET.rxra,FINISHED,0d:00h:09m:02s,0d:01h:49m:20s,2022-06-03 20:52:17,2022-06-03 19:11:59,2022-06-03 21:01:19,0
dude_FEAT.smiles_to_image.TARGET.nram,FEAT.smiles_to_image.TARGET.nram,FINISHED,0d:00h:17m:03s,0d:01h:23m:17s,2022-06-03 20:18:11,2022-06-03 19:11:57,2022-06-03 20:35:14,0
dude_FEAT.smiles_to_image.TARGET.src,FEAT.smiles_to_image.TARGET.src,FINISHED,0d:00h:58m:09s,0d:02h:40m:27s,2022-06-03 20:54:18,2022-06-03 19:12:00,2022-06-03 21:52:27,0
dude_FEAT.mordred.TARGET.fa10,FEAT.mordred.TARGET.fa10,FINISHED,0d:00h:25m:05s,0d:00h:58m:14s,2022-06-03 19:45:05,2022-06-03 19:11:56,2022-06-03 20:10:10,0
dude_FEAT.rdkit.TARGET.hivrt,FEAT.rdkit.TARGET.hivrt,FINISHED,0d:00h:04m:01s,0d:00h:58m:14s,2022-06-03 20:06:09,2022-06-03 19:11:56,2022-06-03 20:10:10,0
dude_FEAT.mordred.TARGET.comt,FEAT.mordred.TARGET.comt,FINISHED,0d:00h:09m:02s,0d:00h:29m:10s,2022-06-03 19:32:03,2022-06-03 19:11:55,2022-06-03 19:41:05,0
dude_FEAT.maacs.TARGET.kith,FEAT.maacs.TARGET.kith,FINISHED,0d:00h:04m:01s,0d:01h:06m:14s,2022-06-03 20:14:10,2022-06-03 19:11:57,2022-06-03 20:18:11,0
dude_FEAT.mordred.TARGET.esr1,FEAT.mordred.TARGET.esr1,FINISHED,0d:00h:24m:04s,0d:00h:55m:14s,2022-06-03 19:43:05,2022-06-03 19:11:55,2022-06-03 20:07:09,0
dude_FEAT.rdkit.TARGET.pparg,FEAT.rdkit.TARGET.pparg,FINISHED,0d:00h:31m:06s,0d:01h:56m:21s,2022-06-03 20:37:14,2022-06-03 19:11:59,2022-06-03 21:08:20,0
dude_FEAT.mordred.TARGET.hivrt,FEAT.mordred.TARGET.hivrt,FINISHED,0d:00h:06m:01s,0d:00h:57m:13s,2022-06-03 20:03:08,2022-06-03 19:11:56,2022-06-03 20:09:09,0
dude_FEAT.smiles_to_image.TARGET.andr,FEAT.smiles_to_image.TARGET.andr,FINISHED,0d:00h:26m:04s,0d:00h:27m:10s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:39:04,0
dude_FEAT.maacs.TARGET.pparg,FEAT.maacs.TARGET.pparg,FINISHED,0d:00h:29m:06s,0d:01h:54m:21s,2022-06-03 20:37:14,2022-06-03 19:11:59,2022-06-03 21:06:20,0
dude_FEAT.rdkit.TARGET.mcr,FEAT.rdkit.TARGET.mcr,FINISHED,0d:00h:06m:01s,0d:01h:10m:15s,2022-06-03 20:16:11,2022-06-03 19:11:57,2022-06-03 20:22:12,0
dude_FEAT.mordred.TARGET.prgr,FEAT.mordred.TARGET.prgr,FINISHED,0d:00h:17m:03s,0d:01h:44m:19s,2022-06-03 20:39:15,2022-06-03 19:11:59,2022-06-03 20:56:18,0
dude_FEAT.smiles_to_image.TARGET.pde5a,FEAT.smiles_to_image.TARGET.pde5a,FINISHED,0d:00h:42m:08s,0d:01h:52m:22s,2022-06-03 20:22:12,2022-06-03 19:11:58,2022-06-03 21:04:20,0
dude_FEAT.smiles_to_seq.TARGET.rxra,FEAT.smiles_to_seq.TARGET.rxra,FINISHED,0d:00h:12m:02s,0d:01h:50m:20s,2022-06-03 20:50:17,2022-06-03 19:11:59,2022-06-03 21:02:19,0
dude_FEAT.rdkit.TARGET.kith,FEAT.rdkit.TARGET.kith,FINISHED,0d:00h:04m:01s,0d:01h:07m:14s,2022-06-03 20:15:10,2022-06-03 19:11:57,2022-06-03 20:19:11,0
dude_FEAT.smiles_to_image.TARGET.ada,FEAT.smiles_to_image.TARGET.ada,FINISHED,0d:00h:18m:03s,0d:00h:19m:09s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:31:03,0
dude_FEAT.smiles_to_seq.TARGET.fa10,FEAT.smiles_to_seq.TARGET.fa10,FINISHED,0d:00h:22m:04s,0d:00h:55m:14s,2022-06-03 19:45:05,2022-06-03 19:11:55,2022-06-03 20:07:09,0
dude_FEAT.smiles_to_seq.TARGET.hs90a,FEAT.smiles_to_seq.TARGET.hs90a,FINISHED,0d:00h:07m:01s,0d:01h:03m:14s,2022-06-03 20:08:09,2022-06-03 19:11:56,2022-06-03 20:15:10,0
dude_FEAT.mordred.TARGET.pparg,FEAT.mordred.TARGET.pparg,FINISHED,0d:00h:30m:06s,0d:01h:55m:21s,2022-06-03 20:37:14,2022-06-03 19:11:59,2022-06-03 21:07:20,0
dude_FEAT.smiles_to_image.TARGET.aces,FEAT.smiles_to_image.TARGET.aces,FINISHED,0d:00h:42m:07s,0d:00h:43m:13s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:55:07,0
dude_FEAT.smiles_to_seq.TARGET.pgh2,FEAT.smiles_to_seq.TARGET.pgh2,FINISHED,0d:00h:31m:06s,0d:01h:46m:21s,2022-06-03 20:27:13,2022-06-03 19:11:58,2022-06-03 20:58:19,0
dude_FEAT.ecfp.TARGET.egfr,FEAT.ecfp.TARGET.egfr,FINISHED,0d:00h:43m:08s,0d:01h:10m:17s,2022-06-03 19:39:04,2022-06-03 19:11:55,2022-06-03 20:22:12,0
dude_FEAT.rdkit.TARGET.src,FEAT.rdkit.TARGET.src,FINISHED,0d:00h:42m:07s,0d:02h:25m:25s,2022-06-03 20:55:18,2022-06-03 19:12:00,2022-06-03 21:37:25,0
dude_FEAT.smiles_to_seq.TARGET.aces,FEAT.smiles_to_seq.TARGET.aces,FINISHED,0d:00h:29m:05s,0d:00h:30m:11s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:42:05,0
dude_FEAT.smiles_to_image.TARGET.bace1,FEAT.smiles_to_image.TARGET.bace1,FINISHED,0d:00h:35m:06s,0d:00h:43m:13s,2022-06-03 19:20:01,2022-06-03 19:11:54,2022-06-03 19:55:07,0
dude_FEAT.smiles_to_image.TARGET.gcr,FEAT.smiles_to_image.TARGET.gcr,FINISHED,0d:00h:24m:04s,0d:01h:08m:15s,2022-06-03 19:56:07,2022-06-03 19:11:56,2022-06-03 20:20:11,0
dude_FEAT.mordred.TARGET.mcr,FEAT.mordred.TARGET.mcr,FINISHED,0d:00h:07m:01s,0d:01h:11m:15s,2022-06-03 20:16:11,2022-06-03 19:11:57,2022-06-03 20:23:12,0
dude_FEAT.rdkit.TARGET.mk14,FEAT.rdkit.TARGET.mk14,FINISHED,0d:00h:40m:07s,0d:01h:45m:21s,2022-06-03 20:17:11,2022-06-03 19:11:57,2022-06-03 20:57:18,0
dude_FEAT.smiles_to_seq.TARGET.pparg,FEAT.smiles_to_seq.TARGET.pparg,FINISHED,0d:00h:37m:07s,0d:02h:00m:23s,2022-06-03 20:35:14,2022-06-03 19:11:58,2022-06-03 21:12:21,0
dude_FEAT.ecfp.TARGET.ace,FEAT.ecfp.TARGET.ace,FINISHED,0d:00h:24m:04s,0d:00h:25m:11s,2022-06-03 19:13:00,2022-06-03 19:11:53,2022-06-03 19:37:04,0
dude_FEAT.smiles_to_image.TARGET.esr1,FEAT.smiles_to_image.TARGET.esr1,FINISHED,0d:00h:35m:06s,0d:01h:05m:16s,2022-06-03 19:42:05,2022-06-03 19:11:55,2022-06-03 20:17:11,0
dude_FEAT.ecfp.TARGET.esr1,FEAT.ecfp.TARGET.esr1,FINISHED,0d:00h:23m:04s,0d:00h:53m:14s,2022-06-03 19:42:05,2022-06-03 19:11:55,2022-06-03 20:05:09,0
dude_FEAT.smiles_to_seq.TARGET.gcr,FEAT.smiles_to_seq.TARGET.gcr,FINISHED,0d:00h:15m:03s,0d:00h:58m:14s,2022-06-03 19:55:07,2022-06-03 19:11:56,2022-06-03 20:10:10,0
dude_FEAT.smiles_to_image.TARGET.pur2,FEAT.smiles_to_image.TARGET.pur2,FINISHED,0d:00h:12m:02s,0d:01h:43m:19s,2022-06-03 20:43:16,2022-06-03 19:11:59,2022-06-03 20:55:18,0
dude_FEAT.rdkit.TARGET.parp1,FEAT.rdkit.TARGET.parp1,FINISHED,0d:00h:32m:06s,0d:01h:40m:19s,2022-06-03 20:20:11,2022-06-03 19:11:58,2022-06-03 20:52:17,0
dude_FEAT.ecfp.TARGET.try1,FEAT.ecfp.TARGET.try1,FINISHED,0d:00h:12m:02s,0d:01h:56m:20s,2022-06-03 20:56:18,2022-06-03 19:12:00,2022-06-03 21:08:20,0
dude_FEAT.smiles_to_image.TARGET.sahh,FEAT.smiles_to_image.TARGET.sahh,FINISHED,0d:00h:14m:02s,0d:01h:55m:21s,2022-06-03 20:53:18,2022-06-03 19:11:59,2022-06-03 21:07:20,0
dude_FEAT.mordred.TARGET.bace1,FEAT.mordred.TARGET.bace1,FINISHED,0d:00h:24m:04s,0d:00h:33m:11s,2022-06-03 19:21:01,2022-06-03 19:11:54,2022-06-03 19:45:05,0
dude_FEAT.mordred.TARGET.pgh2,FEAT.mordred.TARGET.pgh2,FINISHED,0d:00h:27m:05s,0d:01h:43m:20s,2022-06-03 20:28:13,2022-06-03 19:11:58,2022-06-03 20:55:18,0
dude_FEAT.rdkit.TARGET.hmdh,FEAT.rdkit.TARGET.hmdh,FINISHED,0d:00h:12m:02s,0d:01h:07m:15s,2022-06-03 20:07:09,2022-06-03 19:11:56,2022-06-03 20:19:11,0
dude_FEAT.ecfp.TARGET.pde5a,FEAT.ecfp.TARGET.pde5a,FINISHED,0d:00h:31m:06s,0d:01h:39m:19s,2022-06-03 20:20:11,2022-06-03 19:11:58,2022-06-03 20:51:17,0
dude_FEAT.rdkit.TARGET.fa10,FEAT.rdkit.TARGET.fa10,FINISHED,0d:00h:22m:04s,0d:00h:56m:13s,2022-06-03 19:46:05,2022-06-03 19:11:56,2022-06-03 20:08:09,0
dude_FEAT.smiles_to_seq.TARGET.kith,FEAT.smiles_to_seq.TARGET.kith,FINISHED,0d:00h:05m:01s,0d:01h:06m:14s,2022-06-03 20:13:10,2022-06-03 19:11:57,2022-06-03 20:18:11,0
dude_FEAT.smiles_to_seq.TARGET.aldr,FEAT.smiles_to_seq.TARGET.aldr,FINISHED,0d:00h:12m:02s,0d:00h:13m:08s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:25:02,0
dude_FEAT.ecfp.TARGET.mk14,FEAT.ecfp.TARGET.mk14,FINISHED,0d:00h:43m:08s,0d:01h:47m:22s,2022-06-03 20:16:11,2022-06-03 19:11:57,2022-06-03 20:59:19,0
dude_FEAT.maacs.TARGET.ampc,FEAT.maacs.TARGET.ampc,FINISHED,0d:00h:05m:01s,0d:00h:06m:07s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:18:01,0
dude_FEAT.smiles_to_image.TARGET.parp1,FEAT.smiles_to_image.TARGET.parp1,FINISHED,0d:00h:55m:11s,0d:02h:02m:24s,2022-06-03 20:19:11,2022-06-03 19:11:58,2022-06-03 21:14:22,0
dude_FEAT.smiles_to_image.TARGET.ace,FEAT.smiles_to_image.TARGET.ace,FINISHED,0d:00h:30m:05s,0d:00h:31m:12s,2022-06-03 19:13:00,2022-06-03 19:11:53,2022-06-03 19:43:05,0
dude_FEAT.rdkit.TARGET.pde5a,FEAT.rdkit.TARGET.pde5a,FINISHED,0d:00h:30m:05s,0d:01h:40m:19s,2022-06-03 20:22:12,2022-06-03 19:11:58,2022-06-03 20:52:17,0
dude_FEAT.smiles_to_seq.TARGET.egfr,FEAT.smiles_to_seq.TARGET.egfr,FINISHED,0d:00h:40m:07s,0d:01h:07m:16s,2022-06-03 19:39:04,2022-06-03 19:11:55,2022-06-03 20:19:11,0
dude_FEAT.mordred.TARGET.ampc,FEAT.mordred.TARGET.ampc,FINISHED,0d:00h:07m:01s,0d:00h:08m:07s,2022-06-03 19:13:00,2022-06-03 19:11:54,2022-06-03 19:20:01,0
dude_FEAT.smiles_to_image.TARGET.mk14,FEAT.smiles_to_image.TARGET.mk14,FINISHED,0d:00h:51m:09s,0d:01h:56m:23s,2022-06-03 20:17:11,2022-06-03 19:11:57,2022-06-03 21:08:20,0
