Step Name,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts
dude_FEAT.maacs.TARGET.aces,FEAT.maacs.TARGET.aces,FAILED,0d:00h:31m:05s,0d:00h:45m:13s,2022-06-02 17:06:07,2022-06-02 16:51:59,2022-06-02 17:37:12,0
dude_FEAT.smiles_to_image.TARGET.fa10,FEAT.smiles_to_image.TARGET.fa10,FAILED,0d:00h:33m:05s,0d:01h:57m:20s,2022-06-02 18:16:16,2022-06-02 16:52:01,2022-06-02 18:49:21,0
dude_FEAT.maacs.TARGET.hivrt,FEAT.maacs.TARGET.hivrt,FINISHED,0d:00h:04m:00s,0d:01h:47m:18s,2022-06-02 18:35:19,2022-06-02 16:52:01,2022-06-02 18:39:19,0
dude_FEAT.ecfp.TARGET.pde5a,FEAT.ecfp.TARGET.pde5a,FAILED,0d:00h:28m:04s,0d:02h:31m:22s,2022-06-02 18:55:21,2022-06-02 16:52:03,2022-06-02 19:23:25,0
dude_FEAT.rdkit.TARGET.inha,FEAT.rdkit.TARGET.inha,FINISHED,0d:00h:03m:01s,0d:01h:57m:19s,2022-06-02 18:46:20,2022-06-02 16:52:02,2022-06-02 18:49:21,0
dude_FEAT.maacs.TARGET.ampc,FEAT.maacs.TARGET.ampc,FINISHED,0d:00h:04m:00s,0d:00h:48m:13s,2022-06-02 17:36:12,2022-06-02 16:51:59,2022-06-02 17:40:12,0
dude_FEAT.smiles_to_seq.TARGET.sahh,FEAT.smiles_to_seq.TARGET.sahh,FINISHED,0d:00h:05m:01s,0d:02h:51m:24s,2022-06-02 19:38:27,2022-06-02 16:52:04,2022-06-02 19:43:28,0
dude_FEAT.smiles_to_image.TARGET.inha,FEAT.smiles_to_image.TARGET.inha,FAILED,0d:00h:12m:01s,0d:02h:02m:19s,2022-06-02 18:42:20,2022-06-02 16:52:02,2022-06-02 18:54:21,0
dude_FEAT.mordred.TARGET.egfr,FEAT.mordred.TARGET.egfr,FAILED,0d:00h:44m:05s,0d:01h:56m:20s,2022-06-02 18:04:15,2022-06-02 16:52:00,2022-06-02 18:48:20,0
dude_FEAT.ecfp.TARGET.gcr,FEAT.ecfp.TARGET.gcr,FAILED,0d:00h:14m:02s,0d:01h:43m:18s,2022-06-02 18:21:17,2022-06-02 16:52:01,2022-06-02 18:35:19,0
dude_FEAT.mordred.TARGET.inha,FEAT.mordred.TARGET.inha,FINISHED,0d:00h:07m:01s,0d:02h:00m:19s,2022-06-02 18:45:20,2022-06-02 16:52:02,2022-06-02 18:52:21,0
dude_FEAT.mordred.TARGET.dyr,FEAT.mordred.TARGET.dyr,FAILED,0d:00h:22m:02s,0d:01h:32m:17s,2022-06-02 18:02:15,2022-06-02 16:52:00,2022-06-02 18:24:17,0
dude_FEAT.rdkit.TARGET.aces,FEAT.rdkit.TARGET.aces,FAILED,0d:00h:31m:04s,0d:00h:46m:13s,2022-06-02 17:07:08,2022-06-02 16:51:59,2022-06-02 17:38:12,0
dude_FEAT.ecfp.TARGET.mk14,FEAT.ecfp.TARGET.mk14,FAILED,0d:00h:40m:05s,0d:02h:37m:24s,2022-06-02 18:49:21,2022-06-02 16:52:02,2022-06-02 19:29:26,0
dude_FEAT.rdkit.TARGET.parp1,FEAT.rdkit.TARGET.parp1,FAILED,0d:00h:36m:05s,0d:02h:38m:23s,2022-06-02 18:54:21,2022-06-02 16:52:03,2022-06-02 19:30:26,0
dude_FEAT.maacs.TARGET.comt,FEAT.maacs.TARGET.comt,FINISHED,0d:00h:07m:01s,0d:01h:12m:15s,2022-06-02 17:57:14,2022-06-02 16:52:00,2022-06-02 18:04:15,0
dude_FEAT.rdkit.TARGET.sahh,FEAT.rdkit.TARGET.sahh,FINISHED,0d:00h:06m:01s,0d:02h:54m:24s,2022-06-02 19:40:28,2022-06-02 16:52:05,2022-06-02 19:46:29,0
dude_FEAT.maacs.TARGET.kith,FEAT.maacs.TARGET.kith,FINISHED,0d:00h:04m:01s,0d:01h:59m:19s,2022-06-02 18:47:20,2022-06-02 16:52:02,2022-06-02 18:51:21,0
dude_FEAT.rdkit.TARGET.pparg,FEAT.rdkit.TARGET.pparg,FAILED,0d:00h:27m:04s,0d:03h:02m:26s,2022-06-02 19:27:26,2022-06-02 16:52:04,2022-06-02 19:54:30,0
dude_FEAT.smiles_to_image.TARGET.src,FEAT.smiles_to_image.TARGET.src,FAILED,0d:00h:51m:07s,0d:03h:40m:30s,2022-06-02 19:41:28,2022-06-02 16:52:05,2022-06-02 20:32:35,0
dude_FEAT.smiles_to_seq.TARGET.pygm,FEAT.smiles_to_seq.TARGET.pygm,FINISHED,0d:00h:05m:01s,0d:02h:45m:23s,2022-06-02 19:32:26,2022-06-02 16:52:04,2022-06-02 19:37:27,0
dude_FEAT.rdkit.TARGET.bace1,FEAT.rdkit.TARGET.bace1,FAILED,0d:00h:21m:02s,0d:01h:12m:15s,2022-06-02 17:43:13,2022-06-02 16:52:00,2022-06-02 18:04:15,0
dude_FEAT.maacs.TARGET.fa10,FEAT.maacs.TARGET.fa10,FAILED,0d:00h:22m:02s,0d:01h:47m:18s,2022-06-02 18:17:17,2022-06-02 16:52:01,2022-06-02 18:39:19,0
dude_FEAT.smiles_to_seq.TARGET.gcr,FEAT.smiles_to_seq.TARGET.gcr,FAILED,0d:00h:13m:02s,0d:01h:42m:18s,2022-06-02 18:21:17,2022-06-02 16:52:01,2022-06-02 18:34:19,0
dude_FEAT.mordred.TARGET.pygm,FEAT.mordred.TARGET.pygm,FINISHED,0d:00h:07m:02s,0d:02h:48m:24s,2022-06-02 19:33:26,2022-06-02 16:52:04,2022-06-02 19:40:28,0
dude_FEAT.maacs.TARGET.rxra,FEAT.maacs.TARGET.rxra,FINISHED,0d:00h:09m:01s,0d:02h:53m:24s,2022-06-02 19:36:27,2022-06-02 16:52:04,2022-06-02 19:45:28,0
dude_FEAT.rdkit.TARGET.nram,FEAT.rdkit.TARGET.nram,FINISHED,0d:00h:10m:01s,0d:02h:10m:19s,2022-06-02 18:52:21,2022-06-02 16:52:03,2022-06-02 19:02:22,0
dude_FEAT.smiles_to_image.TARGET.pde5a,FEAT.smiles_to_image.TARGET.pde5a,FAILED,0d:00h:42m:06s,0d:02h:49m:25s,2022-06-02 18:59:22,2022-06-02 16:52:03,2022-06-02 19:41:28,0
dude_FEAT.smiles_to_seq.TARGET.aces,FEAT.smiles_to_seq.TARGET.aces,FAILED,0d:00h:29m:04s,0d:00h:30m:11s,2022-06-02 16:53:06,2022-06-02 16:51:59,2022-06-02 17:22:10,0
dude_FEAT.smiles_to_image.TARGET.egfr,FEAT.smiles_to_image.TARGET.egfr,FAILED,0d:00h:55m:07s,0d:02h:07m:22s,2022-06-02 18:04:15,2022-06-02 16:52:00,2022-06-02 18:59:22,0
dude_FEAT.maacs.TARGET.pur2,FEAT.maacs.TARGET.pur2,FINISHED,0d:00h:04m:01s,0d:02h:42m:23s,2022-06-02 19:30:26,2022-06-02 16:52:04,2022-06-02 19:34:27,0
dude_FEAT.smiles_to_image.TARGET.cdk2,FEAT.smiles_to_image.TARGET.cdk2,FAILED,0d:00h:47m:05s,0d:01h:38m:18s,2022-06-02 17:43:13,2022-06-02 16:52:00,2022-06-02 18:30:18,0
dude_FEAT.maacs.TARGET.try1,FEAT.maacs.TARGET.try1,FINISHED,0d:00h:11m:01s,0d:03h:05m:25s,2022-06-02 19:46:29,2022-06-02 16:52:05,2022-06-02 19:57:30,0
dude_FEAT.rdkit.TARGET.pnph,FEAT.rdkit.TARGET.pnph,FINISHED,0d:00h:09m:01s,0d:02h:40m:22s,2022-06-02 19:23:25,2022-06-02 16:52:04,2022-06-02 19:32:26,0
dude_FEAT.mordred.TARGET.pgh1,FEAT.mordred.TARGET.pgh1,FAILED,0d:00h:15m:02s,0d:02h:25m:21s,2022-06-02 19:02:22,2022-06-02 16:52:03,2022-06-02 19:17:24,0
dude_FEAT.smiles_to_image.TARGET.mk14,FEAT.smiles_to_image.TARGET.mk14,FAILED,0d:00h:54m:07s,0d:02h:51m:26s,2022-06-02 18:49:21,2022-06-02 16:52:02,2022-06-02 19:43:28,0
dude_FEAT.smiles_to_seq.TARGET.kith,FEAT.smiles_to_seq.TARGET.kith,FINISHED,0d:00h:05m:01s,0d:01h:59m:19s,2022-06-02 18:46:20,2022-06-02 16:52:02,2022-06-02 18:51:21,0
dude_FEAT.ecfp.TARGET.fa10,FEAT.ecfp.TARGET.fa10,FAILED,0d:00h:24m:03s,0d:01h:46m:18s,2022-06-02 18:14:16,2022-06-02 16:52:01,2022-06-02 18:38:19,0
dude_FEAT.smiles_to_seq.TARGET.vgfr2,FEAT.smiles_to_seq.TARGET.vgfr2,FAILED,0d:00h:25m:03s,0d:03h:20m:27s,2022-06-02 19:47:29,2022-06-02 16:52:05,2022-06-02 20:12:32,0
dude_FEAT.smiles_to_image.TARGET.esr1,FEAT.smiles_to_image.TARGET.esr1,FAILED,0d:00h:32m:03s,0d:01h:48m:19s,2022-06-02 18:08:16,2022-06-02 16:52:00,2022-06-02 18:40:19,0
dude_FEAT.mordred.TARGET.ada,FEAT.mordred.TARGET.ada,FAILED,0d:00h:09m:01s,0d:00h:34m:11s,2022-06-02 17:17:09,2022-06-02 16:51:59,2022-06-02 17:26:10,0
dude_FEAT.smiles_to_seq.TARGET.esr1,FEAT.smiles_to_seq.TARGET.esr1,FAILED,0d:00h:21m:03s,0d:01h:35m:18s,2022-06-02 18:06:15,2022-06-02 16:52:00,2022-06-02 18:27:18,0
dude_FEAT.smiles_to_image.TARGET.pur2,FEAT.smiles_to_image.TARGET.pur2,FAILED,0d:00h:12m:02s,0d:02h:50m:24s,2022-06-02 19:30:26,2022-06-02 16:52:04,2022-06-02 19:42:28,0
dude_FEAT.rdkit.TARGET.hivrt,FEAT.rdkit.TARGET.hivrt,FINISHED,0d:00h:05m:00s,0d:01h:48m:18s,2022-06-02 18:35:19,2022-06-02 16:52:01,2022-06-02 18:40:19,0
dude_FEAT.rdkit.TARGET.ada,FEAT.rdkit.TARGET.ada,FINISHED,0d:00h:08m:01s,0d:00h:34m:11s,2022-06-02 17:18:09,2022-06-02 16:51:59,2022-06-02 17:26:10,0
dude_FEAT.smiles_to_seq.TARGET.src,FEAT.smiles_to_seq.TARGET.src,FAILED,0d:00h:37m:05s,0d:03h:26m:28s,2022-06-02 19:41:28,2022-06-02 16:52:05,2022-06-02 20:18:33,0
dude_FEAT.ecfp.TARGET.ampc,FEAT.ecfp.TARGET.ampc,FINISHED,0d:00h:06m:01s,0d:00h:41m:12s,2022-06-02 17:27:10,2022-06-02 16:51:59,2022-06-02 17:33:11,0
dude_FEAT.smiles_to_image.TARGET.kith,FEAT.smiles_to_image.TARGET.kith,FAILED,0d:00h:12m:02s,0d:02h:07m:20s,2022-06-02 18:47:20,2022-06-02 16:52:02,2022-06-02 18:59:22,0
dude_FEAT.mordred.TARGET.hs90a,FEAT.mordred.TARGET.hs90a,FAILED,0d:00h:09m:02s,0d:01h:57m:19s,2022-06-02 18:40:19,2022-06-02 16:52:02,2022-06-02 18:49:21,0
dude_FEAT.ecfp.TARGET.nram,FEAT.ecfp.TARGET.nram,FAILED,0d:00h:09m:01s,0d:02h:08m:20s,2022-06-02 18:51:21,2022-06-02 16:52:02,2022-06-02 19:00:22,0
dude_FEAT.rdkit.TARGET.comt,FEAT.rdkit.TARGET.comt,FINISHED,0d:00h:06m:01s,0d:01h:12m:15s,2022-06-02 17:58:14,2022-06-02 16:52:00,2022-06-02 18:04:15,0
dude_FEAT.smiles_to_seq.TARGET.ace,FEAT.smiles_to_seq.TARGET.ace,FAILED,0d:00h:20m:02s,0d:00h:21m:10s,2022-06-02 16:53:06,2022-06-02 16:51:58,2022-06-02 17:13:08,0
dude_FEAT.ecfp.TARGET.aldr,FEAT.ecfp.TARGET.aldr,FAILED,0d:00h:12m:02s,0d:00h:39m:12s,2022-06-02 17:19:09,2022-06-02 16:51:59,2022-06-02 17:31:11,0
dude_FEAT.mordred.TARGET.src,FEAT.mordred.TARGET.src,FAILED,0d:00h:43m:06s,0d:03h:33m:29s,2022-06-02 19:42:28,2022-06-02 16:52:05,2022-06-02 20:25:34,0
dude_FEAT.mordred.TARGET.andr,FEAT.mordred.TARGET.andr,FAILED,0d:00h:17m:02s,0d:01h:04m:15s,2022-06-02 17:39:12,2022-06-02 16:51:59,2022-06-02 17:56:14,0
dude_FEAT.ecfp.TARGET.andr,FEAT.ecfp.TARGET.andr,FAILED,0d:00h:15m:01s,0d:00h:59m:14s,2022-06-02 17:36:12,2022-06-02 16:51:59,2022-06-02 17:51:13,0
dude_FEAT.smiles_to_image.TARGET.bace1,FEAT.smiles_to_image.TARGET.bace1,FAILED,0d:00h:31m:04s,0d:01h:20m:16s,2022-06-02 17:41:12,2022-06-02 16:52:00,2022-06-02 18:12:16,0
dude_FEAT.ecfp.TARGET.pgh2,FEAT.ecfp.TARGET.pgh2,FAILED,0d:00h:28m:03s,0d:02h:41m:23s,2022-06-02 19:05:23,2022-06-02 16:52:03,2022-06-02 19:33:26,0
dude_FEAT.smiles_to_image.TARGET.pparg,FEAT.smiles_to_image.TARGET.pparg,FAILED,0d:00h:40m:06s,0d:03h:12m:27s,2022-06-02 19:24:25,2022-06-02 16:52:04,2022-06-02 20:04:31,0
dude_FEAT.rdkit.TARGET.gcr,FEAT.rdkit.TARGET.gcr,FINISHED,0d:00h:15m:01s,0d:01h:49m:18s,2022-06-02 18:26:18,2022-06-02 16:52:01,2022-06-02 18:41:19,0
dude_FEAT.mordred.TARGET.parp1,FEAT.mordred.TARGET.parp1,FAILED,0d:00h:37m:05s,0d:02h:39m:23s,2022-06-02 18:54:21,2022-06-02 16:52:03,2022-06-02 19:31:26,0
dude_FEAT.mordred.TARGET.vgfr2,FEAT.mordred.TARGET.vgfr2,FAILED,0d:00h:27m:04s,0d:03h:23m:28s,2022-06-02 19:48:29,2022-06-02 16:52:05,2022-06-02 20:15:33,0
dude_FEAT.smiles_to_image.TARGET.pgh1,FEAT.smiles_to_image.TARGET.pgh1,FAILED,0d:00h:23m:03s,0d:02h:33m:22s,2022-06-02 19:02:22,2022-06-02 16:52:03,2022-06-02 19:25:25,0
dude_FEAT.smiles_to_seq.TARGET.bace1,FEAT.smiles_to_seq.TARGET.bace1,FAILED,0d:00h:21m:03s,0d:01h:10m:16s,2022-06-02 17:41:12,2022-06-02 16:51:59,2022-06-02 18:02:15,0
dude_FEAT.mordred.TARGET.bace1,FEAT.mordred.TARGET.bace1,FAILED,0d:00h:25m:03s,0d:01h:14m:15s,2022-06-02 17:41:12,2022-06-02 16:52:00,2022-06-02 18:06:15,0
dude_FEAT.smiles_to_seq.TARGET.parp1,FEAT.smiles_to_seq.TARGET.parp1,FAILED,0d:00h:36m:05s,0d:02h:38m:23s,2022-06-02 18:54:21,2022-06-02 16:52:03,2022-06-02 19:30:26,0
dude_FEAT.mordred.TARGET.ampc,FEAT.mordred.TARGET.ampc,FINISHED,0d:00h:07m:01s,0d:00h:49m:13s,2022-06-02 17:34:11,2022-06-02 16:51:59,2022-06-02 17:41:12,0
dude_FEAT.ecfp.TARGET.cdk2,FEAT.ecfp.TARGET.cdk2,FAILED,0d:00h:34m:04s,0d:01h:25m:17s,2022-06-02 17:43:13,2022-06-02 16:52:00,2022-06-02 18:17:17,0
dude_FEAT.ecfp.TARGET.egfr,FEAT.ecfp.TARGET.egfr,FAILED,0d:00h:45m:05s,0d:01h:56m:20s,2022-06-02 18:03:15,2022-06-02 16:52:00,2022-06-02 18:48:20,0
dude_FEAT.smiles_to_seq.TARGET.thrb,FEAT.smiles_to_seq.TARGET.thrb,FINISHED,0d:00h:13m:02s,0d:03h:04m:25s,2022-06-02 19:43:28,2022-06-02 16:52:05,2022-06-02 19:56:30,0
dude_FEAT.smiles_to_image.TARGET.thrb,FEAT.smiles_to_image.TARGET.thrb,FAILED,0d:00h:22m:04s,0d:03h:15m:27s,2022-06-02 19:45:28,2022-06-02 16:52:05,2022-06-02 20:07:32,0
dude_FEAT.smiles_to_seq.TARGET.ada,FEAT.smiles_to_seq.TARGET.ada,FINISHED,0d:00h:08m:01s,0d:00h:29m:10s,2022-06-02 17:13:08,2022-06-02 16:51:59,2022-06-02 17:21:09,0
dude_FEAT.smiles_to_seq.TARGET.hivpr,FEAT.smiles_to_seq.TARGET.hivpr,FAILED,0d:00h:36m:04s,0d:02h:11m:21s,2022-06-02 18:27:18,2022-06-02 16:52:01,2022-06-02 19:03:22,0
dude_FEAT.mordred.TARGET.hmdh,FEAT.mordred.TARGET.hmdh,FAILED,0d:00h:14m:02s,0d:02h:00m:20s,2022-06-02 18:38:19,2022-06-02 16:52:01,2022-06-02 18:52:21,0
dude_FEAT.smiles_to_image.TARGET.hivpr,FEAT.smiles_to_image.TARGET.hivpr,FAILED,0d:00h:52m:06s,0d:02h:27m:23s,2022-06-02 18:27:18,2022-06-02 16:52:01,2022-06-02 19:19:24,0
dude_FEAT.smiles_to_image.TARGET.nram,FEAT.smiles_to_image.TARGET.nram,FAILED,0d:00h:17m:02s,0d:02h:17m:21s,2022-06-02 18:52:21,2022-06-02 16:52:02,2022-06-02 19:09:23,0
dude_FEAT.rdkit.TARGET.src,FEAT.rdkit.TARGET.src,FAILED,0d:00h:37m:06s,0d:03h:28m:29s,2022-06-02 19:43:28,2022-06-02 16:52:05,2022-06-02 20:20:34,0
dude_FEAT.mordred.TARGET.rxra,FEAT.mordred.TARGET.rxra,FAILED,0d:00h:11m:02s,0d:02h:55m:25s,2022-06-02 19:36:27,2022-06-02 16:52:04,2022-06-02 19:47:29,0
dude_FEAT.smiles_to_seq.TARGET.hs90a,FEAT.smiles_to_seq.TARGET.hs90a,FINISHED,0d:00h:08m:01s,0d:01h:55m:19s,2022-06-02 18:39:19,2022-06-02 16:52:01,2022-06-02 18:47:20,0
dude_FEAT.mordred.TARGET.pde5a,FEAT.mordred.TARGET.pde5a,FAILED,0d:00h:31m:04s,0d:02h:38m:23s,2022-06-02 18:59:22,2022-06-02 16:52:03,2022-06-02 19:30:26,0
dude_FEAT.ecfp.TARGET.pgh1,FEAT.ecfp.TARGET.pgh1,FAILED,0d:00h:13m:02s,0d:02h:21m:21s,2022-06-02 19:00:22,2022-06-02 16:52:03,2022-06-02 19:13:24,0
dude_FEAT.smiles_to_image.TARGET.hs90a,FEAT.smiles_to_image.TARGET.hs90a,FAILED,0d:00h:15m:02s,0d:02h:03m:20s,2022-06-02 18:40:19,2022-06-02 16:52:01,2022-06-02 18:55:21,0
dude_FEAT.maacs.TARGET.hs90a,FEAT.maacs.TARGET.hs90a,FINISHED,0d:00h:07m:01s,0d:01h:55m:18s,2022-06-02 18:40:19,2022-06-02 16:52:02,2022-06-02 18:47:20,0
dude_FEAT.smiles_to_seq.TARGET.pde5a,FEAT.smiles_to_seq.TARGET.pde5a,FAILED,0d:00h:29m:04s,0d:02h:33m:22s,2022-06-02 18:56:21,2022-06-02 16:52:03,2022-06-02 19:25:25,0
dude_FEAT.maacs.TARGET.hmdh,FEAT.maacs.TARGET.hmdh,FINISHED,0d:00h:10m:02s,0d:01h:57m:20s,2022-06-02 18:39:19,2022-06-02 16:52:01,2022-06-02 18:49:21,0
dude_FEAT.maacs.TARGET.pygm,FEAT.maacs.TARGET.pygm,FINISHED,0d:00h:06m:01s,0d:02h:47m:23s,2022-06-02 19:33:26,2022-06-02 16:52:04,2022-06-02 19:39:27,0
dude_FEAT.ecfp.TARGET.try1,FEAT.ecfp.TARGET.try1,FAILED,0d:00h:12m:02s,0d:03h:05m:25s,2022-06-02 19:45:28,2022-06-02 16:52:05,2022-06-02 19:57:30,0
dude_FEAT.mordred.TARGET.pnph,FEAT.mordred.TARGET.pnph,FAILED,0d:00h:12m:02s,0d:02h:37m:23s,2022-06-02 19:17:24,2022-06-02 16:52:03,2022-06-02 19:29:26,0
dude_FEAT.rdkit.TARGET.kith,FEAT.rdkit.TARGET.kith,FINISHED,0d:00h:05m:01s,0d:02h:00m:19s,2022-06-02 18:47:20,2022-06-02 16:52:02,2022-06-02 18:52:21,0
dude_FEAT.maacs.TARGET.esr1,FEAT.maacs.TARGET.esr1,FAILED,0d:00h:20m:02s,0d:01h:39m:18s,2022-06-02 18:11:16,2022-06-02 16:52:00,2022-06-02 18:31:18,0
dude_FEAT.rdkit.TARGET.mcr,FEAT.rdkit.TARGET.mcr,FINISHED,0d:00h:05m:00s,0d:02h:02m:19s,2022-06-02 18:49:21,2022-06-02 16:52:02,2022-06-02 18:54:21,0
dude_FEAT.mordred.TARGET.pgh2,FEAT.mordred.TARGET.pgh2,FAILED,0d:00h:29m:04s,0d:02h:46m:24s,2022-06-02 19:09:23,2022-06-02 16:52:03,2022-06-02 19:38:27,0
